year,season_id,date,home_team,home_team_id,home_team_score,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_score,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,innings,slug,game_info_url,contest_id
2019,15204,5/1/2019,Binghamton,62,2,America East,845,/team/62/15204,1,Cornell,167,5,Ivy League,865,/team/167/15204,1,NA,NA,/contests/1663316/box_score,https://stats.ncaa.org/contests/1663316/box_score,1663316
2019,15204,5/4/2019,Dartmouth,172,6,Ivy League,865,/team/172/15204,1,Cornell,167,8,Ivy League,865,/team/167/15204,1,NA,NA,/contests/1663680/box_score,https://stats.ncaa.org/contests/1663680/box_score,1663680
2019,15204,5/4/2019,Dartmouth,172,1,Ivy League,865,/team/172/15204,1,Cornell,167,2,Ivy League,865,/team/167/15204,1,NA,NA,/contests/1665085/box_score,https://stats.ncaa.org/contests/1665085/box_score,1665085
2019,15204,5/5/2019,Dartmouth,172,6,Ivy League,865,/team/172/15204,1,Cornell,167,1,Ivy League,865,/team/167/15204,1,NA,NA,/contests/1663913/box_score,https://stats.ncaa.org/contests/1663913/box_score,1663913
2019,15204,5/7/2019,St. Bonaventure,596,9,Atlantic 10,820,/team/596/15204,1,Cornell,167,8,Ivy League,865,/team/167/15204,1,NA,10,/contests/1664142/box_score,https://stats.ncaa.org/contests/1664142/box_score,1664142
2020,15204,2/21/2020,Duke,193,8,ACC,821,/team/193/15204,1,Cornell,167,0,Ivy League,865,/team/167/15204,1,NA,NA,/contests/1831275/box_score,https://stats.ncaa.org/contests/1831275/box_score,1831275
2020,15204,2/22/2020,Duke,193,2,ACC,821,/team/193/15204,1,Cornell,167,0,Ivy League,865,/team/167/15204,1,NA,NA,/contests/1831572/box_score,https://stats.ncaa.org/contests/1831572/box_score,1831572
2020,15204,2/23/2020,Duke,193,3,ACC,821,/team/193/15204,1,Cornell,167,1,Ivy League,865,/team/167/15204,1,NA,NA,/contests/1831959/box_score,https://stats.ncaa.org/contests/1831959/box_score,1831959
2020,15204,2/29/2020,Cornell,167,4,Ivy League,865,/team/167/15204,1,Niagara,482,8,MAAC,871,/team/482/15204,1,"Colonial Heights, VA",NA,/contests/1832744/box_score,https://stats.ncaa.org/contests/1832744/box_score,1832744
2020,15204,2/29/2020,Cornell,167,6,Ivy League,865,/team/167/15204,1,Niagara,482,8,MAAC,871,/team/482/15204,1,"Colonial Heights, VA",NA,/contests/1848991/box_score,https://stats.ncaa.org/contests/1848991/box_score,1848991
2020,15204,3/1/2020,Cornell,167,6,Ivy League,865,/team/167/15204,1,Niagara,482,5,MAAC,871,/team/482/15204,1,"Colonial Heights, VA",NA,/contests/1849568/box_score,https://stats.ncaa.org/contests/1849568/box_score,1849568
2020,15204,3/6/2020,South Carolina,648,10,SEC,911,/team/648/15204,1,Cornell,167,2,Ivy League,865,/team/167/15204,1,NA,NA,/contests/1833975/box_score,https://stats.ncaa.org/contests/1833975/box_score,1833975
2020,15204,3/7/2020,South Carolina,648,10,SEC,911,/team/648/15204,1,Cornell,167,3,Ivy League,865,/team/167/15204,1,NA,NA,/contests/1834360/box_score,https://stats.ncaa.org/contests/1834360/box_score,1834360
2020,15204,3/8/2020,South Carolina,648,6,SEC,911,/team/648/15204,1,Cornell,167,1,Ivy League,865,/team/167/15204,1,NA,NA,/contests/1834707/box_score,https://stats.ncaa.org/contests/1834707/box_score,1834707
2022,15860,2/25/2022,Virginia,746,24,ACC,821,/team/746/15860,1,Cornell,167,9,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2168853/box_score,https://stats.ncaa.org/contests/2168853/box_score,2168853
2022,15860,2/26/2022,Virginia,746,17,ACC,821,/team/746/15860,1,Cornell,167,2,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2169122/box_score,https://stats.ncaa.org/contests/2169122/box_score,2169122
2022,15860,2/27/2022,Virginia,746,19,ACC,821,/team/746/15860,1,Cornell,167,1,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2169525/box_score,https://stats.ncaa.org/contests/2169525/box_score,2169525
2022,15860,3/5/2022,Coppin St.,165,7,MEAC,876,/team/165/15860,1,Cornell,167,11,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2170609/box_score,https://stats.ncaa.org/contests/2170609/box_score,2170609
2022,15860,3/5/2022,Coppin St.,165,5,MEAC,876,/team/165/15860,1,Cornell,167,14,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2188234/box_score,https://stats.ncaa.org/contests/2188234/box_score,2188234
2022,15860,3/6/2022,Coppin St.,165,21,MEAC,876,/team/165/15860,1,Cornell,167,2,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2170912/box_score,https://stats.ncaa.org/contests/2170912/box_score,2170912
2022,15860,3/13/2022,Cornell,167,8,Ivy League,865,/team/167/15860,1,Georgetown,251,9,Big East,30184,/team/251/15860,1,"College Park, Md.",10,/contests/2172327/box_score,https://stats.ncaa.org/contests/2172327/box_score,2172327
2022,15860,3/13/2022,Maryland,392,12,Big Ten,827,/team/392/15860,1,Cornell,167,5,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2171946/box_score,https://stats.ncaa.org/contests/2171946/box_score,2171946
2022,15860,3/18/2022,Richmond,575,15,Atlantic 10,820,/team/575/15860,1,Cornell,167,6,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2173104/box_score,https://stats.ncaa.org/contests/2173104/box_score,2173104
2022,15860,3/19/2022,Richmond,575,9,Atlantic 10,820,/team/575/15860,1,Cornell,167,2,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2173407/box_score,https://stats.ncaa.org/contests/2173407/box_score,2173407
2022,15860,3/20/2022,Richmond,575,4,Atlantic 10,820,/team/575/15860,1,Cornell,167,7,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2173830/box_score,https://stats.ncaa.org/contests/2173830/box_score,2173830
2022,15860,3/25/2022,Cornell,167,5,Ivy League,865,/team/167/15860,1,Harvard,275,7,Ivy League,865,/team/275/15860,1,NA,NA,/contests/2174968/box_score,https://stats.ncaa.org/contests/2174968/box_score,2174968
2022,15860,3/25/2022,Cornell,167,5,Ivy League,865,/team/167/15860,1,Harvard,275,11,Ivy League,865,/team/275/15860,1,NA,NA,/contests/2187164/box_score,https://stats.ncaa.org/contests/2187164/box_score,2187164
2022,15860,3/26/2022,Cornell,167,11,Ivy League,865,/team/167/15860,1,Harvard,275,12,Ivy League,865,/team/275/15860,1,NA,NA,/contests/2264862/box_score,https://stats.ncaa.org/contests/2264862/box_score,2264862
2022,15860,4/2/2022,Cornell,167,2,Ivy League,865,/team/167/15860,1,Yale,813,1,Ivy League,865,/team/813/15860,1,NA,NA,/contests/2176434/box_score,https://stats.ncaa.org/contests/2176434/box_score,2176434
2022,15860,4/2/2022,Cornell,167,12,Ivy League,865,/team/167/15860,1,Yale,813,9,Ivy League,865,/team/813/15860,1,NA,NA,/contests/2185251/box_score,https://stats.ncaa.org/contests/2185251/box_score,2185251
2022,15860,4/3/2022,Cornell,167,5,Ivy League,865,/team/167/15860,1,Yale,813,18,Ivy League,865,/team/813/15860,1,NA,NA,/contests/2176833/box_score,https://stats.ncaa.org/contests/2176833/box_score,2176833
2022,15860,4/5/2022,Canisius,116,10,MAAC,871,/team/116/15860,1,Cornell,167,11,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2177196/box_score,https://stats.ncaa.org/contests/2177196/box_score,2177196
2022,15860,4/9/2022,Princeton,554,12,Ivy League,865,/team/554/15860,1,Cornell,167,3,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2177881/box_score,https://stats.ncaa.org/contests/2177881/box_score,2177881
2022,15860,4/9/2022,Princeton,554,1,Ivy League,865,/team/554/15860,1,Cornell,167,7,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2185636/box_score,https://stats.ncaa.org/contests/2185636/box_score,2185636
2022,15860,4/10/2022,Princeton,554,10,Ivy League,865,/team/554/15860,1,Cornell,167,6,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2178282/box_score,https://stats.ncaa.org/contests/2178282/box_score,2178282
2022,15860,4/12/2022,Binghamton,62,5,America East,845,/team/62/15860,1,Cornell,167,3,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2178847/box_score,https://stats.ncaa.org/contests/2178847/box_score,2178847
2022,15860,4/16/2022,Penn,540,10,Ivy League,865,/team/540/15860,1,Cornell,167,1,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2179558/box_score,https://stats.ncaa.org/contests/2179558/box_score,2179558
2022,15860,4/16/2022,Penn,540,10,Ivy League,865,/team/540/15860,1,Cornell,167,4,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2185165/box_score,https://stats.ncaa.org/contests/2185165/box_score,2185165
2022,15860,4/17/2022,Penn,540,15,Ivy League,865,/team/540/15860,1,Cornell,167,6,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2179919/box_score,https://stats.ncaa.org/contests/2179919/box_score,2179919
2022,15860,4/20/2022,Cornell,167,10,Ivy League,865,/team/167/15860,1,Binghamton,62,9,America East,845,/team/62/15860,1,NA,10,/contests/2180313/box_score,https://stats.ncaa.org/contests/2180313/box_score,2180313
2022,15860,4/23/2022,Cornell,167,12,Ivy League,865,/team/167/15860,1,Dartmouth,172,7,Ivy League,865,/team/172/15860,1,NA,NA,/contests/2180860/box_score,https://stats.ncaa.org/contests/2180860/box_score,2180860
2022,15860,4/23/2022,Cornell,167,2,Ivy League,865,/team/167/15860,1,Dartmouth,172,12,Ivy League,865,/team/172/15860,1,NA,NA,/contests/2185717/box_score,https://stats.ncaa.org/contests/2185717/box_score,2185717
2022,15860,4/24/2022,Cornell,167,8,Ivy League,865,/team/167/15860,1,Dartmouth,172,10,Ivy League,865,/team/172/15860,1,NA,NA,/contests/2181268/box_score,https://stats.ncaa.org/contests/2181268/box_score,2181268
2022,15860,4/30/2022,Cornell,167,3,Ivy League,865,/team/167/15860,1,Columbia,158,7,Ivy League,865,/team/158/15860,1,NA,NA,/contests/2182324/box_score,https://stats.ncaa.org/contests/2182324/box_score,2182324
2022,15860,4/30/2022,Cornell,167,2,Ivy League,865,/team/167/15860,1,Columbia,158,5,Ivy League,865,/team/158/15860,1,NA,NA,/contests/2186401/box_score,https://stats.ncaa.org/contests/2186401/box_score,2186401
2022,15860,5/1/2022,Cornell,167,5,Ivy League,865,/team/167/15860,1,Columbia,158,11,Ivy League,865,/team/158/15860,1,NA,NA,/contests/2182744/box_score,https://stats.ncaa.org/contests/2182744/box_score,2182744
2022,15860,5/3/2022,Binghamton,62,8,America East,845,/team/62/15860,1,Cornell,167,10,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2183022/box_score,https://stats.ncaa.org/contests/2183022/box_score,2183022
2022,15860,5/7/2022,Brown,80,0,Ivy League,865,/team/80/15860,1,Cornell,167,3,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2183434/box_score,https://stats.ncaa.org/contests/2183434/box_score,2183434
2022,15860,5/7/2022,Brown,80,6,Ivy League,865,/team/80/15860,1,Cornell,167,3,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2185556/box_score,https://stats.ncaa.org/contests/2185556/box_score,2185556
2022,15860,5/8/2022,Brown,80,10,Ivy League,865,/team/80/15860,1,Cornell,167,7,Ivy League,865,/team/167/15860,1,NA,NA,/contests/2183681/box_score,https://stats.ncaa.org/contests/2183681/box_score,2183681
2023,16340,2/24/2023,James Madison,317,11,Sun Belt,818,/team/317/16340,1,Cornell,167,5,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2391442/box_score,https://stats.ncaa.org/contests/2391442/box_score,2391442
2023,16340,2/25/2023,James Madison,317,9,Sun Belt,818,/team/317/16340,1,Cornell,167,2,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2391894/box_score,https://stats.ncaa.org/contests/2391894/box_score,2391894
2023,16340,2/26/2023,James Madison,317,7,Sun Belt,818,/team/317/16340,1,Cornell,167,5,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2392199/box_score,https://stats.ncaa.org/contests/2392199/box_score,2392199
2023,16340,3/3/2023,Ball St.,47,5,MAC,875,/team/47/16340,1,Cornell,167,2,Ivy League,865,/team/167/16340,1,"Winston-Salem, NC",NA,/contests/2392707/box_score,https://stats.ncaa.org/contests/2392707/box_score,2392707
